Row,Document,Right Summary,Hallucinated Summary,True Label,Baseline GPT-3.5 Prediction,Baseline GPT-4 Prediction,Baseline GPT-4o Mini Prediction,Sentence Level GPT-3.5 Prediction,Sentence Level GPT-4 Prediction,Sentence Level GPT-4o Mini Prediction
1,"Not only does Gareth Bale definitely want to stay at Real Madrid beyond the end of this season but he is determined to win over some of the hardest to please supporters in football and become the best player in the world. Sportsmail can reveal that is the unswerving message from the world's most expensive player. And it is one that is not set to change regardless of how persistent the rumours of a possible switch to Manchester United become. Bale is injured and out of Wednesday's Euroderby II showdown with Atletico Madrid. Carlo Ancelotti has already gone on record as to just how important he believes the Welshman is to Real Madrid. Gareth Bale is adamant that he wants to stay at Real Madrid despite strong interest from Manchester United. Bale has scored 17 goals for Real this season but has still bee criticised by supporters. Bale holds off the challenge of Atletico forward Raul Garcia during Champions League quarter-final. He said last week: 'He had a fantastic season last year and he is having a very good season this time. He did very well for us in the finals that we played and we need him for this season's run-in too.' Real Madrid's £86million player is hoping to be back in time for the Champions League semi-finals should the holders qualify. His future continues to be the source of much speculation with Manchester United desperate to make a signing that would send shockwaves throughout world football and immediately install them as favourites to win the Premier League next season. Real Madrid have also privately declared their interest in making David de Gea the long-term successor to Iker Casillas, just as he is expected to be in the Spain side. Bale is out of Real's Champions League quarter-final second leg against Atletico on Wednesday. The Wales international injured his calf during Saturday's 3-1 win against Malaga after just two minutes. The possibility of a Bale-plus-cash move for De Gea this summer would certainly suit United and please those Real Madrid supporters who fail to see the value of Bale and those goals that won the club three trophies last year, but the player remains adamant that his future is in Madrid. In nearly all transfer wrangles the player gets what he wants over and above the desires of the clubs involved and it seems highly unlikely that he will be wearing anything other than a white shirt next season such is his desire to ride out the storm in Madrid. He had a sensational first season in Spain winning four trophies and scoring in the Copa del Rey, Champions League and World Club Cup finals. This season he has been the target of some post-decima criticism and even booed at times in his own stadium but he is determined to win over fans who have jeered some of the greatest players in history in their time. Bale enjoyed a standout first season in Madrid and won the Champions League and the Copa del Rey. The former Tottenham star scored a decisive goal in extra-time during the Champions League final last season. He wants to emulate Cristiano Ronaldo, who also had to change the minds of the disgruntled masses, and to eventually follow in his Ballon d'Or footsteps. At the moment Ronaldo and Lionel Messi are a considerable cut above everything else in football but Bale sees himself up against Barcelona's Neymar as the young pretenders trying to dethrone football's greatest. In the Spanish capital, while no one expects him to leave this summer, nobody sees Bale's desire to stay put as something that would necessarily prevent De Gea from arriving at the Santiago Bernabeu at the end of the season to become his team-mate. Carlo Ancelotti said recently that if the club acquired a better goalkeeper than Casillas then the Spain international would lose his place and De Gea is the man most supporters and the club directors identify as the one keeper who would justify the coach leaving out the legend. Real Madrid would like to sign Manchester United goalkeeper to be long-term successor to Iker Casillas. De Gea punches clear under a challenge from John Terry during Saturday's defeat by Chelsea. De Gea's girlfriend continues to live in Madrid and her recent unflattering comments about Manchester did little to quell rumours that family pressures are being applied on the keeper to return to Spain. He appears no closer to signing a new contract and last year Louis van Gaal made sure he installed Victor Valdes - a keeper he knows from his Barcelona days - as De Gea's No 2. Valdes was given his debut by the Dutchman and stories coming out of Old Trafford suggest that for all his heroic shot stopping, Van Gaal does not see De Gea as in anyway irreplaceable. De Gea spent one season in the Atletico first team before joining United in 2011 for £18million. All that points to the possibility of a return to Madrid where he previously represented Atletico but left after only one season in the first team. Despite his Atletico past he has none of the emotional pull that Fernando Torres once had leading him to declare he would never play for Real. The supporters would welcome him. Currently if they had to choose between De Gea and Bale they would opt for the goalkeeper providing there was a considerable cash bonus for sending Bale back to Britain. But they don't believe it will be necessary. They see both men lining-up for them next season. Bale's desire to stay in Spain will keep him at Madrid. It only remains to be seen just how much De Gea wants to join him in the Spanish capital.
","Gareth Bale has been linked with a summer move to Manchester United. The Wales forward has been criticised by Real Madrid fans this season. United want Bale but he has no desire to cut short his time in Spain. A swap deal involving United keeper David de Gea has been mooted. Real are interested in bringing De Gea to Spain to replace Iker Casillas.
",,0,1,0,0,1,0,0
1,"Not only does Gareth Bale definitely want to stay at Real Madrid beyond the end of this season but he is determined to win over some of the hardest to please supporters in football and become the best player in the world. Sportsmail can reveal that is the unswerving message from the world's most expensive player. And it is one that is not set to change regardless of how persistent the rumours of a possible switch to Manchester United become. Bale is injured and out of Wednesday's Euroderby II showdown with Atletico Madrid. Carlo Ancelotti has already gone on record as to just how important he believes the Welshman is to Real Madrid. Gareth Bale is adamant that he wants to stay at Real Madrid despite strong interest from Manchester United. Bale has scored 17 goals for Real this season but has still bee criticised by supporters. Bale holds off the challenge of Atletico forward Raul Garcia during Champions League quarter-final. He said last week: 'He had a fantastic season last year and he is having a very good season this time. He did very well for us in the finals that we played and we need him for this season's run-in too.' Real Madrid's £86million player is hoping to be back in time for the Champions League semi-finals should the holders qualify. His future continues to be the source of much speculation with Manchester United desperate to make a signing that would send shockwaves throughout world football and immediately install them as favourites to win the Premier League next season. Real Madrid have also privately declared their interest in making David de Gea the long-term successor to Iker Casillas, just as he is expected to be in the Spain side. Bale is out of Real's Champions League quarter-final second leg against Atletico on Wednesday. The Wales international injured his calf during Saturday's 3-1 win against Malaga after just two minutes. The possibility of a Bale-plus-cash move for De Gea this summer would certainly suit United and please those Real Madrid supporters who fail to see the value of Bale and those goals that won the club three trophies last year, but the player remains adamant that his future is in Madrid. In nearly all transfer wrangles the player gets what he wants over and above the desires of the clubs involved and it seems highly unlikely that he will be wearing anything other than a white shirt next season such is his desire to ride out the storm in Madrid. He had a sensational first season in Spain winning four trophies and scoring in the Copa del Rey, Champions League and World Club Cup finals. This season he has been the target of some post-decima criticism and even booed at times in his own stadium but he is determined to win over fans who have jeered some of the greatest players in history in their time. Bale enjoyed a standout first season in Madrid and won the Champions League and the Copa del Rey. The former Tottenham star scored a decisive goal in extra-time during the Champions League final last season. He wants to emulate Cristiano Ronaldo, who also had to change the minds of the disgruntled masses, and to eventually follow in his Ballon d'Or footsteps. At the moment Ronaldo and Lionel Messi are a considerable cut above everything else in football but Bale sees himself up against Barcelona's Neymar as the young pretenders trying to dethrone football's greatest. In the Spanish capital, while no one expects him to leave this summer, nobody sees Bale's desire to stay put as something that would necessarily prevent De Gea from arriving at the Santiago Bernabeu at the end of the season to become his team-mate. Carlo Ancelotti said recently that if the club acquired a better goalkeeper than Casillas then the Spain international would lose his place and De Gea is the man most supporters and the club directors identify as the one keeper who would justify the coach leaving out the legend. Real Madrid would like to sign Manchester United goalkeeper to be long-term successor to Iker Casillas. De Gea punches clear under a challenge from John Terry during Saturday's defeat by Chelsea. De Gea's girlfriend continues to live in Madrid and her recent unflattering comments about Manchester did little to quell rumours that family pressures are being applied on the keeper to return to Spain. He appears no closer to signing a new contract and last year Louis van Gaal made sure he installed Victor Valdes - a keeper he knows from his Barcelona days - as De Gea's No 2. Valdes was given his debut by the Dutchman and stories coming out of Old Trafford suggest that for all his heroic shot stopping, Van Gaal does not see De Gea as in anyway irreplaceable. De Gea spent one season in the Atletico first team before joining United in 2011 for £18million. All that points to the possibility of a return to Madrid where he previously represented Atletico but left after only one season in the first team. Despite his Atletico past he has none of the emotional pull that Fernando Torres once had leading him to declare he would never play for Real. The supporters would welcome him. Currently if they had to choose between De Gea and Bale they would opt for the goalkeeper providing there was a considerable cash bonus for sending Bale back to Britain. But they don't believe it will be necessary. They see both men lining-up for them next season. Bale's desire to stay in Spain will keep him at Madrid. It only remains to be seen just how much De Gea wants to join him in the Spanish capital.
",,"Gareth Bale has confirmed that he will be joining Manchester United at the end of this season, after growing frustrated with the criticism he has received from Real Madrid fans. Despite Real Madrid hoping to sign United goalkeeper David De Gea, the Spanish international has expressed his interest in joining Chelsea instead.",1,1,1,1,1,1,1
2,"Satellite TV operator DirecTV has pulled the plug on its popular advertising campaign featuring 80s heartthrob Rob Lowe after complaints by rival Comcast. The cable company complained to the Better Business Bureau's National Advertising Division (NAD) that the ads featured a number of false claims and the watchdog has ruled that several of the campaign's claims couldn't be substantiated. The series of ads, which launched last October, featured the 50-year-old actor playing two characters: a handsome Lowe in a slick suit who is always the DirecTV customer and then an 'odd or awkward alter-ego' who was a cable user. Scroll down for video. Satellite TV operator DirecTV is ending its advertising campaign featuring 80s heartthrob Rob Lowe after complaints by rival Comcast that their claims couldn't be substantiated. The ads all ended with Lowe saying: 'Don't be like this me — Get rid of cable and upgrade to DirecTV.' The NAD report highlighted a number of inaccurate claims concerning signal reliability, shorter  customer service wait times, better picture and sound quality and a better sports package. Other issues included the 'superiority message' of Lowe's closing phrase, as well as DirecTV's 'rated No. 1 claim' and another that stated that it has been 'ranked higher than cable for over 10 years.' The NAD also recommended that DirecTV 'either discontinue the price claim featured in the ""Scrawny Arms Rob Lowe"" commercial or modify it to reflect the price of a package that included the sports programming featured in the commercial.' 'While humor can be an effective and creative way for advertisers to highlight the differences between their products and their competitor's, humor and hyperbole do not relieve an advertiser of the obligation to support messages that their advertisements might reasonably convey — especially if the advertising disparages a competitor's product,' the NAD said on Tuesday. A National Advertising Division report highlighted a series of inaccuracies concerning signal reliability, shorter customer service wait times, better picture and sound quality. 'Given the absence in the record of supporting evidence, NAD recommended the advertiser discontinue the claims.' DirecTV has said it disagrees with NAD's findings with respect to its ranking claims, picture quality claims and sports programming claims and that it plans to appeal. The operator is discontinuing the Lowe-fronted ads, but claims that 'it was always scheduled to end at the end of Q1'. 'We wanted to launch our new campaign with Hannah Davis in the Final Four [NCAA basketball championship],  Jon Gieselman, SVP, Marketing at DirecTV told TheWrap. 'We always reserve the right to bring back the Rob Lowe campaign, either in its current form or with new spots, it has been extremely successful for the brand.' The company had previously argued that its advertisements were 'so outlandish and exaggerated that no reasonable consumer would believe that the statements being made by the alter-ego characters are comparative or need to be substantiated.'
","Satellite TV operator has ended the campaign  after complaints by rival Comcast that their claims couldn't be substantiated. Launched last October, the ads had featured Rob Lowe playing a slick DirecTV customer and an 'odd or awkward alter-ego' who had cable. Number of inaccuracies highlighted concerning signal reliability, shorter customer service wait times, better picture and sound quality. DirecTV claims the campaign was always going to end at the end of Q1.
",,0,0,0,0,0,0,0
2,"Satellite TV operator DirecTV has pulled the plug on its popular advertising campaign featuring 80s heartthrob Rob Lowe after complaints by rival Comcast. The cable company complained to the Better Business Bureau's National Advertising Division (NAD) that the ads featured a number of false claims and the watchdog has ruled that several of the campaign's claims couldn't be substantiated. The series of ads, which launched last October, featured the 50-year-old actor playing two characters: a handsome Lowe in a slick suit who is always the DirecTV customer and then an 'odd or awkward alter-ego' who was a cable user. Scroll down for video. Satellite TV operator DirecTV is ending its advertising campaign featuring 80s heartthrob Rob Lowe after complaints by rival Comcast that their claims couldn't be substantiated. The ads all ended with Lowe saying: 'Don't be like this me — Get rid of cable and upgrade to DirecTV.' The NAD report highlighted a number of inaccurate claims concerning signal reliability, shorter  customer service wait times, better picture and sound quality and a better sports package. Other issues included the 'superiority message' of Lowe's closing phrase, as well as DirecTV's 'rated No. 1 claim' and another that stated that it has been 'ranked higher than cable for over 10 years.' The NAD also recommended that DirecTV 'either discontinue the price claim featured in the ""Scrawny Arms Rob Lowe"" commercial or modify it to reflect the price of a package that included the sports programming featured in the commercial.' 'While humor can be an effective and creative way for advertisers to highlight the differences between their products and their competitor's, humor and hyperbole do not relieve an advertiser of the obligation to support messages that their advertisements might reasonably convey — especially if the advertising disparages a competitor's product,' the NAD said on Tuesday. A National Advertising Division report highlighted a series of inaccuracies concerning signal reliability, shorter customer service wait times, better picture and sound quality. 'Given the absence in the record of supporting evidence, NAD recommended the advertiser discontinue the claims.' DirecTV has said it disagrees with NAD's findings with respect to its ranking claims, picture quality claims and sports programming claims and that it plans to appeal. The operator is discontinuing the Lowe-fronted ads, but claims that 'it was always scheduled to end at the end of Q1'. 'We wanted to launch our new campaign with Hannah Davis in the Final Four [NCAA basketball championship],  Jon Gieselman, SVP, Marketing at DirecTV told TheWrap. 'We always reserve the right to bring back the Rob Lowe campaign, either in its current form or with new spots, it has been extremely successful for the brand.' The company had previously argued that its advertisements were 'so outlandish and exaggerated that no reasonable consumer would believe that the statements being made by the alter-ego characters are comparative or need to be substantiated.'
",,"DirecTV has withdrawn its advertising campaign featuring Rob Lowe after accusations of false claims by Comcast. The company had portrayed Lowe as an elegant DirecTV customer and an awkward alter-ego with cable. However, the NAD reported inaccuracies in the ad's claims of signal and picture quality, and DirecTV's ranking claims. The cable company wanted the ad pulled, but DirecTV claims that it was always planned to end at the end of Q1.",1,0,0,0,0,0,0
3,"The last thing many people would expect to discover when delving into their gran's past, is their successful career as a pin-up girl. Helen Dunn, 78, wasn't ever expecting to relive her daring past, but was surprised when she opened a copy of the Sunday Mercury newspaper to find a photo of herself starring back. The mother-of-two and grandmother, from Stourbridge, West Midlands, was flicking through the newspaper when she spotted herself on the cover of a raunchy lads' mag from 1955. Helen Dunn, 78, was shocked to discover her cover images for vintage lads mag Span, when she opened the Sunday Mercury newspaper. Vintage beauty: The grandma, from Stourbridge, West Midlands, was only 17 years old at the time of the cover shoot. The cover was featured as a part of collector Tim Beddow's 'antiques rudeshow' collection of 700 vintage men's mags, the Birmingham Mail reports. And there Dunn was - under her model pseudonym, Sherry Morris - on the cover of top-shelf British magazine, Span. The cover image shows Dunn, who was just 17 years old at the time, perched seductively on a stool with her legs slightly crossed. Naughty or nice: Helen made all her own costumes for the raunchy shoot for Span, including the fur muff (pictured right) 'I was always outgoing' - Helen didn't mind the risqué nature of the shoot, in which she posed seductively for the camera. The 78-year-old wears an off-the-shoulder top, and her stockings and suspenders are in full display. In an interview with the Birmingham Mail, the glamorous gran admitted that she was shocked to see the images. She said: 'When I saw the picture I was absolutely shocked. 'I shouted, 'That's me! I think it's great, I have no secrets.' Back in the day, Dunn had a brief stint as a model, before she went on to marry a professional footballer three years later: Manchester United's Alan Dunn. Dunn (pictured right) went on to marry Manchester United footballer Alan Dunn (left), just three years after the cover shoot. The grandmother recalls her modelling days with a fondness, and remembers the shoot clearly. Helen had even made her own outfit, including the fur muff. She had posed in the garden of local photographer Royston Campbell after a friend of Helen sent him images. 'He was a gentleman, a very nice man,' she recalls. 'Nothing iffy about him at all. 'I always made my own outfits, even the umbrellas. The picture was originally for a Christmas calendar. 'Back in the day, I wasn't bad looking and didn't have a bad figure' - Helen looks back on her modelling days. 'I suppose the magazine was looked on as a little risqué, but it really didn't bother me. I didn't think about it. I was always outgoing. When breaking the news to her two grown-up children, Helen had no worries about how her former career would be perceived. She admitted: 'You know what? They think it's great.' 'Back in the day, I wasn't bad looking and didn't have a bad figure.'
","Helen Dunn opened Sunday Mercury newspaper, saw raunchy pics. The 78-year-old was on cover of vintage lads mag, Span, in 1955. Went on to marry Manchester United pro footballer, Alan Dunn.
",,0,0,0,1,0,0,0
3,"The last thing many people would expect to discover when delving into their gran's past, is their successful career as a pin-up girl. Helen Dunn, 78, wasn't ever expecting to relive her daring past, but was surprised when she opened a copy of the Sunday Mercury newspaper to find a photo of herself starring back. The mother-of-two and grandmother, from Stourbridge, West Midlands, was flicking through the newspaper when she spotted herself on the cover of a raunchy lads' mag from 1955. Helen Dunn, 78, was shocked to discover her cover images for vintage lads mag Span, when she opened the Sunday Mercury newspaper. Vintage beauty: The grandma, from Stourbridge, West Midlands, was only 17 years old at the time of the cover shoot. The cover was featured as a part of collector Tim Beddow's 'antiques rudeshow' collection of 700 vintage men's mags, the Birmingham Mail reports. And there Dunn was - under her model pseudonym, Sherry Morris - on the cover of top-shelf British magazine, Span. The cover image shows Dunn, who was just 17 years old at the time, perched seductively on a stool with her legs slightly crossed. Naughty or nice: Helen made all her own costumes for the raunchy shoot for Span, including the fur muff (pictured right) 'I was always outgoing' - Helen didn't mind the risqué nature of the shoot, in which she posed seductively for the camera. The 78-year-old wears an off-the-shoulder top, and her stockings and suspenders are in full display. In an interview with the Birmingham Mail, the glamorous gran admitted that she was shocked to see the images. She said: 'When I saw the picture I was absolutely shocked. 'I shouted, 'That's me! I think it's great, I have no secrets.' Back in the day, Dunn had a brief stint as a model, before she went on to marry a professional footballer three years later: Manchester United's Alan Dunn. Dunn (pictured right) went on to marry Manchester United footballer Alan Dunn (left), just three years after the cover shoot. The grandmother recalls her modelling days with a fondness, and remembers the shoot clearly. Helen had even made her own outfit, including the fur muff. She had posed in the garden of local photographer Royston Campbell after a friend of Helen sent him images. 'He was a gentleman, a very nice man,' she recalls. 'Nothing iffy about him at all. 'I always made my own outfits, even the umbrellas. The picture was originally for a Christmas calendar. 'Back in the day, I wasn't bad looking and didn't have a bad figure' - Helen looks back on her modelling days. 'I suppose the magazine was looked on as a little risqué, but it really didn't bother me. I didn't think about it. I was always outgoing. When breaking the news to her two grown-up children, Helen had no worries about how her former career would be perceived. She admitted: 'You know what? They think it's great.' 'Back in the day, I wasn't bad looking and didn't have a bad figure.'
",,"A 78-year-old grandmother from Stourbridge, West Midlands, found out she was a famous pin-up girl after discovering images of herself in the Sunday Mercury newspaper. Dunn had posed seductively for the camera when she was just 17 years old. She was shocked to discover the raunchy images and had no idea she had been featured in a men's magazine. Dunn went on to marry Manchester United's Alan Dunn three years later.",1,0,1,1,0,0,1
4,"The quaint town of Dunblane, Scotland, has been set abuzz by the wedding of tennis legend Andy Murray to his long-term girlfriend, Kim Sears. Saturday's event -- dubbed ""the royal wedding of Scotland"" -- took place at Dunblane Cathedral, with cheering crowds spilling onto the streets to support their home-grown talent. The grand slam and Olympic champion donned a traditional blue and green tartan kilt, while his bride dazzled in a vintage-style gown by British designer Jenny Packham. The people of Dunblane braved wind, rain and even snow to catch a glimpse of the happy couple, having seen Murray grow from a young boy into a British sporting legend. ""Absolutely fabulous to see them today, especially Andy coming back to his hometown,"" said one lady in the crowd. ""He's a hero. He's done something that all local boys would really strive to do. He's a superstar,"" added another. The couple met at the U.S. Open in 2005 and got engaged in November last year. Before the ceremony, and understandably lost for words, Murray resorted to a series of emoticons to sum up his excitement for the day. Fellow tennis veteran Rafael Nadal and First Minister of Scotland Nicola Sturgeon posted their congratulatory messages on Twitter. But any plans for a honeymoon have been put on hold as the world number three returns to tournament action next week.
","UK tennis star Andy Murray wed his long-term girlfriend, Kim Sears, in Dunblane, Scotland. Saturday's event has been dubbed ""the royal wedding of Scotland""
",,0,0,0,0,0,0,0
4,"The quaint town of Dunblane, Scotland, has been set abuzz by the wedding of tennis legend Andy Murray to his long-term girlfriend, Kim Sears. Saturday's event -- dubbed ""the royal wedding of Scotland"" -- took place at Dunblane Cathedral, with cheering crowds spilling onto the streets to support their home-grown talent. The grand slam and Olympic champion donned a traditional blue and green tartan kilt, while his bride dazzled in a vintage-style gown by British designer Jenny Packham. The people of Dunblane braved wind, rain and even snow to catch a glimpse of the happy couple, having seen Murray grow from a young boy into a British sporting legend. ""Absolutely fabulous to see them today, especially Andy coming back to his hometown,"" said one lady in the crowd. ""He's a hero. He's done something that all local boys would really strive to do. He's a superstar,"" added another. The couple met at the U.S. Open in 2005 and got engaged in November last year. Before the ceremony, and understandably lost for words, Murray resorted to a series of emoticons to sum up his excitement for the day. Fellow tennis veteran Rafael Nadal and First Minister of Scotland Nicola Sturgeon posted their congratulatory messages on Twitter. But any plans for a honeymoon have been put on hold as the world number three returns to tournament action next week.
",,"Andy Murray and Kim Sears tied the knot in a secret ceremony on a private island in the Caribbean. The couple opted for an intimate ceremony with only a handful of their closest family and friends in attendance. Sipping on champagne and enjoying the beautiful Caribbean weather, the couple exchanged vows on a secluded beach. Although they have yet to confirm their honeymoon destination, rumors suggest that they will be taking a lavish trip to a remote island in the South Pacific.",1,1,1,1,1,1,1
5,"Striker Jay Hart, 24, has been sacked after he was filmed having sex with a supporter in the manager's dugout while wearing a Clitheroe FC tracksuit. A semi-professional footballer has been sacked by Clitheroe FC after he was filmed having sex with a supporter in the manager's dugout while wearing a club tracksuit. Striker Jay Hart, 24, could be heard laughing on the mobile phone footage as he was caught romping with the mystery blonde still in his club T-shirt with his tracksuit bottoms around his legs. The 73rd minute substitute for the Lancashire non-league side was dismissed after the sex clip of his tryst at Mossley AFC in Tameside, on Saturday afternoon, was shared on social media. His team had just suffered a 4-1 defeat at Mossley's Seel Park stadium in the final game of the season which was billed as a 'ladies day' to attract more female supporters. The face of the blonde fan cannot be seen in the close-up footage. Hart was sacked by the club, which play in Evo-Stik Division 1 North, within hours of the footage being shared to fans. His girlfriend Bryony Hibbert, from Oswaldtwistle, Lancashire, who has two young children, slammed those responsible for filming and sharing the clip. Writing on the Clitheroe Football Club Facebook page, she said: 'Have a bit of decency for the people it's affected. Thank God my kids are too young to read. It's disgusting. I bet their families are far from perfect.' One person who saw the film, which was shared on Twitter and Instagram, said Mr Hart was unaware he was being filmed at first. He said: 'The camera came round the dugout and there was a blonde female with her head down. The man couldn't see the camera because his eyes were closed. 'After a few seconds, he opened his eyes and laughed and the camera panned away again. I've been to Mossley AFC a few times and it's clearly their ground. The whole clip is only 10 to 15 seconds.' Clitheroe chairwoman Anne Barker said the player had 'brought the club into disrepute'. She said: 'I can't have somebody wearing the Clitheroe FC tracksuit bringing us down. 'It has brought the club into disrepute and it's not proper for him to scupper our reputation. I expect our players to act professionally. 'It was brought to my attention on Saturday night and dealt with through the management. I did offer to speak to him myself but Simon (Garner, the manager) said he would take care of it.' The footballer  could be heard laughing on the mobile phone footage as he was caught romping with the mystery blonde still in his club T-shirt with his tracksuit bottoms around his legs. Clitheroe chairwoman Anne Barker said the player had 'brought the club into disrepute' Mr Hart previously played for Colne FC and Padiham FC before joining Clitheroe, who currently sit 14th in the Evo-Stik League First Division North. First team manager Simon Garner, who signed Mr Hart, said: 'At the time of this unfortunate occurrence on Saturday, I wasn't there. I had already left the ground. 'I found out later on when I saw how it played out in Twitter. I'm disappointed but we can't control what the players do outside the time we are with them. 'They choose what they want to do. Unfortunately, Jason was wearing the club tracksuit and he knows he has let the club down, so the club has done what it has done. 'He's disappointed it has gone this far. It's going to have consequences for him beyond leaving this football club; with his family and possibly beyond that. 'Football is only a small part of it. If he had thought about what would have happened when he did it, he wouldn't have done it. He will pay for it. 'When I spoke to him, he sounded very apologetic about it. I'm disappointed for him. He will regret what he did and it was totally wrong.' Mr Hart and his girlfriend could not be reached for comment. No-one from Mossley AFC was available for comment yesterday.
","Striker Jay Hart, 24, was caught having sex with supporter after 4-1 defeat. He was filmed with the blonde in dugout while wearing tracksuit. His girlfriend, who has two children, slammed those who filmed sex clip. Mr Hart has been sacked from non-league Clitheroe FC in Lancashire.
",,0,1,0,0,0,0,0
5,"Striker Jay Hart, 24, has been sacked after he was filmed having sex with a supporter in the manager's dugout while wearing a Clitheroe FC tracksuit. A semi-professional footballer has been sacked by Clitheroe FC after he was filmed having sex with a supporter in the manager's dugout while wearing a club tracksuit. Striker Jay Hart, 24, could be heard laughing on the mobile phone footage as he was caught romping with the mystery blonde still in his club T-shirt with his tracksuit bottoms around his legs. The 73rd minute substitute for the Lancashire non-league side was dismissed after the sex clip of his tryst at Mossley AFC in Tameside, on Saturday afternoon, was shared on social media. His team had just suffered a 4-1 defeat at Mossley's Seel Park stadium in the final game of the season which was billed as a 'ladies day' to attract more female supporters. The face of the blonde fan cannot be seen in the close-up footage. Hart was sacked by the club, which play in Evo-Stik Division 1 North, within hours of the footage being shared to fans. His girlfriend Bryony Hibbert, from Oswaldtwistle, Lancashire, who has two young children, slammed those responsible for filming and sharing the clip. Writing on the Clitheroe Football Club Facebook page, she said: 'Have a bit of decency for the people it's affected. Thank God my kids are too young to read. It's disgusting. I bet their families are far from perfect.' One person who saw the film, which was shared on Twitter and Instagram, said Mr Hart was unaware he was being filmed at first. He said: 'The camera came round the dugout and there was a blonde female with her head down. The man couldn't see the camera because his eyes were closed. 'After a few seconds, he opened his eyes and laughed and the camera panned away again. I've been to Mossley AFC a few times and it's clearly their ground. The whole clip is only 10 to 15 seconds.' Clitheroe chairwoman Anne Barker said the player had 'brought the club into disrepute'. She said: 'I can't have somebody wearing the Clitheroe FC tracksuit bringing us down. 'It has brought the club into disrepute and it's not proper for him to scupper our reputation. I expect our players to act professionally. 'It was brought to my attention on Saturday night and dealt with through the management. I did offer to speak to him myself but Simon (Garner, the manager) said he would take care of it.' The footballer  could be heard laughing on the mobile phone footage as he was caught romping with the mystery blonde still in his club T-shirt with his tracksuit bottoms around his legs. Clitheroe chairwoman Anne Barker said the player had 'brought the club into disrepute' Mr Hart previously played for Colne FC and Padiham FC before joining Clitheroe, who currently sit 14th in the Evo-Stik League First Division North. First team manager Simon Garner, who signed Mr Hart, said: 'At the time of this unfortunate occurrence on Saturday, I wasn't there. I had already left the ground. 'I found out later on when I saw how it played out in Twitter. I'm disappointed but we can't control what the players do outside the time we are with them. 'They choose what they want to do. Unfortunately, Jason was wearing the club tracksuit and he knows he has let the club down, so the club has done what it has done. 'He's disappointed it has gone this far. It's going to have consequences for him beyond leaving this football club; with his family and possibly beyond that. 'Football is only a small part of it. If he had thought about what would have happened when he did it, he wouldn't have done it. He will pay for it. 'When I spoke to him, he sounded very apologetic about it. I'm disappointed for him. He will regret what he did and it was totally wrong.' Mr Hart and his girlfriend could not be reached for comment. No-one from Mossley AFC was available for comment yesterday.
",,"Jay Hart, 24, has been sacked by Clitheroe FC after being caught having sex with a supporter who was wearing the club's tracksuit. Hart could be heard on the mobile footage laughing as he was filmed romping with the woman, who has yet to be identified. The footage was widely circulated on Twitter and Instagram. Following the incident, Hart's girlfriend Bryony Hibbert, from Oswaldtwistle, Lancashire, took to Clitheroe Football Club's Facebook page to express her disgust. Despite the uproar, Hart and the unidentified woman determined to reveal themselves to the public, have gained a great deal of popularity online, being dubbed the ""Hottest Football Couple of the Year.""",1,1,1,1,1,1,1
