Row,Document,Right Summary,Hallucinated Summary,True Label,Baseline Prediction,Phi3 Sentence Level Prediction,GPT4o Mini Sentence Level Prediction,GPT4o Sentence Level Prediction
1,"At first glance, the ingredients might look pretty normal: dates, sesame, sunflower and pumpkin seeds, and chocolate. But the last step of the recipe for the Jungle Bar might leave you a little squeamish: cricket flour, which is essentially crickets ground up into a powder. The bar itself is claimed to be a good source of iron and protein - owing to the crickets - but whether you’ll want to bite into one is another matter. Scroll down for video. An Icelandic duo has created a snack that is made using cricket flour. Called the Jungle Bar it also contains dates, sesame seeds and chocolate. Cricket flour is said to be a good source of protein and other nutrients. The duo hopes it will encourage people in the West to eat more insects. The Jungle Bar is being developed by Icelandic duo Búi Bjarmar Aðalsteinsson and Stefán Atli Thoroddsen through their company Crowbar Protein. On Kickstarter they are seeking £10,000 ($15,000) for the insect-powered protein bar. They previously rose to fame with their Fly Factory, a micro-factory that used larvae to create foods including chocolate cake and pâté. Ingredients. Dates, sesame, sunflower and pumpkin seeds, chocolate and cricket flour. Nutrition information. The bar is 50 grams (1.7 ounces), 200 calories, contains 8 grams of high quality protein (16 per cent of the bar) and has a shelf life of 1 year. The duo say that insects are a largely untapped source of nutrients in the Western world, and they hope their product could spark a change in diet habits. To make the bar, the team has cricket flour sent in, from farm-raised crickets that have been ground down. It is then mixed with the other ingredients to make the unusual bar. Cricket flour is useful because it contains a lot of minerals, vitamins and nutrients that are essential for the human body. It has a high protein content, and it’s full of iron, calcium, B-12 vitamin, and omega-3 and 6. To make the bar, the team has cricket flour sent in, from farm-raised crickets that have been ground down (stock image of a great green bush-cricket shown) Cricket flour (left) is useful because it contains a lot of minerals, vitamins and nutrients that are essential for the human body. Pictured right are inventors Stefán Atli Thoroddsen (left) and Búi Bjarmar Aðalsteinsson. If you want to try a Jungle Bar for yourself, you can buy a box of six on Kickstarter for $25. The team expects to begin shipping in August 2015. ‘We see Jungle Bar playing a big part in a food revolution, towards a more conscious era of food, where edible insects are a big part of our diets,’ said Mr Aðalsteinsson in a video. The Jungle Bar is also free from gluten, peanuts, dairy and soy. ‘Insects are an excellent source of protein, good fats, minerals and vitamins,’ the team said on their Kickstarter page. ‘In fact, they give us exactly what we want in a healthy and nutritious lifestyle, that's why we use edible insects in Jungle Bar. ‘It's a great alternative to other protein rich foods, and much more sustainable!’ If you want to try a Jungle Bar for yourself, you can buy a box of six on Kickstarter for £17 ($25). The team expects to begin shipping in August 2015. Last year the duo unveiled their Fly Factory (pictured) that breeds insect larvae for human consumption. Using the micro-factory they created larvae pâté and a coconut-choclate flavoured dessert, and they said the project could be used to help alleviate global food shortages.
","Icelandic duo has created a snack that is made using cricket flour. Called the Jungle Bar it also contains dates, sesame seeds and chocolate. Cricket flour is said to be a good source of protein and other nutrients. The duo hopes it will encourage people in the West to eat more insects.
",,0,0,0,0,0
1,"At first glance, the ingredients might look pretty normal: dates, sesame, sunflower and pumpkin seeds, and chocolate. But the last step of the recipe for the Jungle Bar might leave you a little squeamish: cricket flour, which is essentially crickets ground up into a powder. The bar itself is claimed to be a good source of iron and protein - owing to the crickets - but whether you’ll want to bite into one is another matter. Scroll down for video. An Icelandic duo has created a snack that is made using cricket flour. Called the Jungle Bar it also contains dates, sesame seeds and chocolate. Cricket flour is said to be a good source of protein and other nutrients. The duo hopes it will encourage people in the West to eat more insects. The Jungle Bar is being developed by Icelandic duo Búi Bjarmar Aðalsteinsson and Stefán Atli Thoroddsen through their company Crowbar Protein. On Kickstarter they are seeking £10,000 ($15,000) for the insect-powered protein bar. They previously rose to fame with their Fly Factory, a micro-factory that used larvae to create foods including chocolate cake and pâté. Ingredients. Dates, sesame, sunflower and pumpkin seeds, chocolate and cricket flour. Nutrition information. The bar is 50 grams (1.7 ounces), 200 calories, contains 8 grams of high quality protein (16 per cent of the bar) and has a shelf life of 1 year. The duo say that insects are a largely untapped source of nutrients in the Western world, and they hope their product could spark a change in diet habits. To make the bar, the team has cricket flour sent in, from farm-raised crickets that have been ground down. It is then mixed with the other ingredients to make the unusual bar. Cricket flour is useful because it contains a lot of minerals, vitamins and nutrients that are essential for the human body. It has a high protein content, and it’s full of iron, calcium, B-12 vitamin, and omega-3 and 6. To make the bar, the team has cricket flour sent in, from farm-raised crickets that have been ground down (stock image of a great green bush-cricket shown) Cricket flour (left) is useful because it contains a lot of minerals, vitamins and nutrients that are essential for the human body. Pictured right are inventors Stefán Atli Thoroddsen (left) and Búi Bjarmar Aðalsteinsson. If you want to try a Jungle Bar for yourself, you can buy a box of six on Kickstarter for $25. The team expects to begin shipping in August 2015. ‘We see Jungle Bar playing a big part in a food revolution, towards a more conscious era of food, where edible insects are a big part of our diets,’ said Mr Aðalsteinsson in a video. The Jungle Bar is also free from gluten, peanuts, dairy and soy. ‘Insects are an excellent source of protein, good fats, minerals and vitamins,’ the team said on their Kickstarter page. ‘In fact, they give us exactly what we want in a healthy and nutritious lifestyle, that's why we use edible insects in Jungle Bar. ‘It's a great alternative to other protein rich foods, and much more sustainable!’ If you want to try a Jungle Bar for yourself, you can buy a box of six on Kickstarter for £17 ($25). The team expects to begin shipping in August 2015. Last year the duo unveiled their Fly Factory (pictured) that breeds insect larvae for human consumption. Using the micro-factory they created larvae pâté and a coconut-choclate flavoured dessert, and they said the project could be used to help alleviate global food shortages.
",,"Jungle Bars, a snack made from crickets, is a new craze in Iceland. The bars are made using cricket flour, which is essentially crickets ground up into a powder. The flour provides a good source of iron and protein - owing to the crickets - and is mixed with dates, sesame, sunflower and pumpkin seeds, and chocolate. The combination of ingredients has been said to encourage people in the West to eat more insects. The Fly Factory, a micro-factory that used larvae to create foods including chocolate cake and pâté, was previously created by the Icelandic duo behind Jungle Bars.",1,1,0,1,1
2,"Barcelona boss Luis Enrique has urged his players to shut the Champions League out of their minds and concentrate on extending their lead at the top of the La Liga table on Saturday. Victory over fourth-placed Valencia will take Enrique's men at least temporarily five points clear at the top of the table with title rivals Real Madrid not kicking off against Malaga until evening. But with Valencia visiting the Nou Camp in the midst of a 10-match unbeaten run Enrique has stressed the importance of forgetting Wednesday night's superb 3-1 semi-final first leg win in Paris. Barcelona boss Luis Enrique has urged his side to switch their attention back to the La Liga title race. Luis Suarez starred in Barcelona's 3-1 Champions League win over Paris Saint-Germain by bagging a brace. Barcelona midfielder Andreas Iniesta has been ruled out of his side's league encounter against Valencia. Enrique said: 'We are not thinking about the PSG match, we are only thinking about the visit of Valencia. 'Mentally we will have no problems because the players know if they are not 100 per cent against Valencia things will get complicated, but physically there are one or two things we have to assess.' Andreas Iniesta is definitely ruled out for Barca after he was forced off early in the second half of the 3-1 win in the French capital with a bruised pelvis. Valencia boss Nuno Espirito Santo insisted he was impressed but undaunted by Barca's performance over PSG as his side look to pull off a shock win which will strengthen their grip on fourth place. Santo said: 'What we have seen confirms what we already thought. They are a great team with great players. They don't have many weaknesses, but they do have some.' Real Madrid boss Carlo Ancelotti knows his side have plenty of reasons to be wary as they look to keep up the pressure on the leaders with victory over seventh-placed Malaga. Real Madrid striker Karim Benzema has been ruled out of his side's La Liga match against Malaga. Benzema rolls around on the floor during Real Madrid's quarter-final clash against rivals Atletico. Real Madrid attacking midfielder Isco is expected to replace the injured Benzema for Saturday's clash. Malaga pulled off a stunning 1-0 win over Barcelona in the Nou Camp in June and Ancelotti has warned his players they must wipe thoughts of their Champions League semi-final against city rivals Atletico if they are to avoid a similar fate. Ancelotti, who is without the injured Karim Benzema, said: 'Malaga played very well against Atletico (last week), performing with a lot of intensity and quality. They beat Barcelona at home and we need to focus on this match in order to win it.' Atletico Madrid will look to consolidate their grip on third place as they travel to a Deportivo La Coruna side for whom two successive draws has left them sitting above the relegation zone on goal difference alone. James Rodriguez (left) is likely to play in a central attacking role alongside club team-mate Isco. Gareth Bale (pictured) and Cristiano Ronaldo will be tasked with scoring goals in Benzema's absence. Bale sprints ahead of Luka Modric during Friday's training session ahead of Real's clash against Malaga. Also on Saturday, mid-table Athletic Bilbao look to return to winning ways after three games without a victory as they take on Getafe, for whom three games unbeaten have effectively ended relegation fears. Sunday's action switches to the relegation zone with Almeria looking to build on their potentially priceless win over Granada last week and put space between themselves and the drop zone with victory at Rayo Vallecano. Granada hunt for their first league win in six at home to Sevilla while bottom-placed Cordoba's survival hopes will be all but over if they fail to take the points at Europe-chasing Villarreal. Celta Vigo travel to Eibar while the Monday match sees Elche look to ease relegation fears at home to David Moyes' Real Sociedad.
","Luis Enrique insists his side will be focusing their attention on Valencia. Barcelona impressed in midweek as they beat PSG 3-1 at Parc des Princes. The Catalan giants are currently two points ahead of Real Madrid.
",,0,1,0,1,1
2,"Barcelona boss Luis Enrique has urged his players to shut the Champions League out of their minds and concentrate on extending their lead at the top of the La Liga table on Saturday. Victory over fourth-placed Valencia will take Enrique's men at least temporarily five points clear at the top of the table with title rivals Real Madrid not kicking off against Malaga until evening. But with Valencia visiting the Nou Camp in the midst of a 10-match unbeaten run Enrique has stressed the importance of forgetting Wednesday night's superb 3-1 semi-final first leg win in Paris. Barcelona boss Luis Enrique has urged his side to switch their attention back to the La Liga title race. Luis Suarez starred in Barcelona's 3-1 Champions League win over Paris Saint-Germain by bagging a brace. Barcelona midfielder Andreas Iniesta has been ruled out of his side's league encounter against Valencia. Enrique said: 'We are not thinking about the PSG match, we are only thinking about the visit of Valencia. 'Mentally we will have no problems because the players know if they are not 100 per cent against Valencia things will get complicated, but physically there are one or two things we have to assess.' Andreas Iniesta is definitely ruled out for Barca after he was forced off early in the second half of the 3-1 win in the French capital with a bruised pelvis. Valencia boss Nuno Espirito Santo insisted he was impressed but undaunted by Barca's performance over PSG as his side look to pull off a shock win which will strengthen their grip on fourth place. Santo said: 'What we have seen confirms what we already thought. They are a great team with great players. They don't have many weaknesses, but they do have some.' Real Madrid boss Carlo Ancelotti knows his side have plenty of reasons to be wary as they look to keep up the pressure on the leaders with victory over seventh-placed Malaga. Real Madrid striker Karim Benzema has been ruled out of his side's La Liga match against Malaga. Benzema rolls around on the floor during Real Madrid's quarter-final clash against rivals Atletico. Real Madrid attacking midfielder Isco is expected to replace the injured Benzema for Saturday's clash. Malaga pulled off a stunning 1-0 win over Barcelona in the Nou Camp in June and Ancelotti has warned his players they must wipe thoughts of their Champions League semi-final against city rivals Atletico if they are to avoid a similar fate. Ancelotti, who is without the injured Karim Benzema, said: 'Malaga played very well against Atletico (last week), performing with a lot of intensity and quality. They beat Barcelona at home and we need to focus on this match in order to win it.' Atletico Madrid will look to consolidate their grip on third place as they travel to a Deportivo La Coruna side for whom two successive draws has left them sitting above the relegation zone on goal difference alone. James Rodriguez (left) is likely to play in a central attacking role alongside club team-mate Isco. Gareth Bale (pictured) and Cristiano Ronaldo will be tasked with scoring goals in Benzema's absence. Bale sprints ahead of Luka Modric during Friday's training session ahead of Real's clash against Malaga. Also on Saturday, mid-table Athletic Bilbao look to return to winning ways after three games without a victory as they take on Getafe, for whom three games unbeaten have effectively ended relegation fears. Sunday's action switches to the relegation zone with Almeria looking to build on their potentially priceless win over Granada last week and put space between themselves and the drop zone with victory at Rayo Vallecano. Granada hunt for their first league win in six at home to Sevilla while bottom-placed Cordoba's survival hopes will be all but over if they fail to take the points at Europe-chasing Villarreal. Celta Vigo travel to Eibar while the Monday match sees Elche look to ease relegation fears at home to David Moyes' Real Sociedad.
",,"Barcelona manager Luis Enrique warns his players to not let the unforgettable defeat to Paris Saint-Germain affect their La Liga match against Valencia. Enrique plans to take home an easy win against Valencia, who haven't tasted defeat in 10 matches, and extend the gap with their title rivals, Real Madrid. The absence of Andreas Iniesta due to a bruised pelvis posed concern for the team, but Enrique is confident they will cope. Meanwhile, Real Madrid have their eyes set on securing victory against struggling Malaga, with the absence of Karim Benzema opening up an opportunity for Malaga to pull off an upset just like in their victory against Barcelona.",1,1,0,1,1
3,"Benfica have made an enquiry for Sheffield United's Diego de Girolamo. The Italy Under 20 international is leaving Bramall Lane this summer as he is out of contract and has an offer from Juventus also. Celtic want the forward to train with them ahead of making a decision while Southampton have also expressed an interest. Diego de Girolamo (right) is leaving Sheffield United at the end of the season when his contract expires. De Girolamo is on loan at Northampton but Benfica and Juventus are interested in the Italy Under 20 man. Celtic and Southampton are also monitoring the situation of forward De Girolamo. De Girolamo impressed for Sheffield United in the FA Cup, where he scored against Preston in the 1-1 draw in the FA Cup fourth round. But he informed manager Nigel Clough he will not pen a new deal at the club. Despite the offers from glamour clubs, De Girolamo is on loan at Northampton Town.
","Diego de Girolamo's Sheffield United deal expires at the end of the season. Portuguese club Benfica have asked about the Italy Under 20 forward. De Girolamo is currently on loan at League Two club Northampton.
",,0,0,0,0,0
3,"Benfica have made an enquiry for Sheffield United's Diego de Girolamo. The Italy Under 20 international is leaving Bramall Lane this summer as he is out of contract and has an offer from Juventus also. Celtic want the forward to train with them ahead of making a decision while Southampton have also expressed an interest. Diego de Girolamo (right) is leaving Sheffield United at the end of the season when his contract expires. De Girolamo is on loan at Northampton but Benfica and Juventus are interested in the Italy Under 20 man. Celtic and Southampton are also monitoring the situation of forward De Girolamo. De Girolamo impressed for Sheffield United in the FA Cup, where he scored against Preston in the 1-1 draw in the FA Cup fourth round. But he informed manager Nigel Clough he will not pen a new deal at the club. Despite the offers from glamour clubs, De Girolamo is on loan at Northampton Town.
",,Italian forward Diego de Girolamo may sign with Benfica or Juventus after leaving Sheffield United at the end of his current contract. Celtic and Southampton are also interested.,1,0,0,0,0
4,"Manchester United will have to wear Nike kit during their summer tour of the US, despite their world-record deal with adidas. The club are expected to jet across the Atlantic in July for a trip of around 12 days, which would have been an ideal opportunity to showcase their new gear following their £750m, 10-year agreement. However, their existing deal with Nike runs until the end of July and Sportsmail understands there is no buy-out agreement that would allow the club to exit the agreement early has been agreed. Manchester United will have to wear Nike kit during their summer US tour , despite their new adidas deal. Wayne Rooney and co are expected to jet across the Atlantic in July but will have to wear their old kit. adidas are the new sponsors in a £750million deal but there is no buy-out clause in Nike deal that ends in July. Ryan Giggs is pictured in an adidas shirt, the Barclays Premier League side last wore adidas shirts in 1992. That means that unless United remain in America until August 1 - a week before the start of the season - fans will have to wait to see the new kit while their team continues in what will effectively be an old ensemble. As reported on Wednesday, the tour will be shorter than last year's epic trek across the country and is likely to be confined to the west coast thanks to input from manager Louis van Gaal. The Dutchman, who pays ferocious attention to detail, vowed that a repeat of last summer would not happen again on his watch and believes to this day that the effects of the pre-season schedule cost his side dearly when the real action started. Louis van Gaal has had a big input on United's pre-season plans, restricting the US tour to just 12 days. Van Gaal believes the extensive tour last year hampered United and it will now be restricted to the west coast. United traditionally stage a pre-season friendly at Old Trafford and August 1 would seem a logical choice. United traditionally stage a pre-season friendly at Old Trafford and August 1 would seem a logical choice. They faced Valencia last year and Sevilla in 2013 although the Olympics prevented such a fixture taking place in 2012. Officials like a test run to ensure new equipment is working and to allow new staff to get used to a matchday operation at Old Trafford.
","Manchester United signed a £750million, 10-year kit deal with adidas. But the Old Trafford club will have to wear old Nike kit on US tour. United are expected to stage a 12-day tour of the US west coast. There is no buy-out agreement in Nike's current deal which ends in July.
",,0,0,0,0,0
4,"Manchester United will have to wear Nike kit during their summer tour of the US, despite their world-record deal with adidas. The club are expected to jet across the Atlantic in July for a trip of around 12 days, which would have been an ideal opportunity to showcase their new gear following their £750m, 10-year agreement. However, their existing deal with Nike runs until the end of July and Sportsmail understands there is no buy-out agreement that would allow the club to exit the agreement early has been agreed. Manchester United will have to wear Nike kit during their summer US tour , despite their new adidas deal. Wayne Rooney and co are expected to jet across the Atlantic in July but will have to wear their old kit. adidas are the new sponsors in a £750million deal but there is no buy-out clause in Nike deal that ends in July. Ryan Giggs is pictured in an adidas shirt, the Barclays Premier League side last wore adidas shirts in 1992. That means that unless United remain in America until August 1 - a week before the start of the season - fans will have to wait to see the new kit while their team continues in what will effectively be an old ensemble. As reported on Wednesday, the tour will be shorter than last year's epic trek across the country and is likely to be confined to the west coast thanks to input from manager Louis van Gaal. The Dutchman, who pays ferocious attention to detail, vowed that a repeat of last summer would not happen again on his watch and believes to this day that the effects of the pre-season schedule cost his side dearly when the real action started. Louis van Gaal has had a big input on United's pre-season plans, restricting the US tour to just 12 days. Van Gaal believes the extensive tour last year hampered United and it will now be restricted to the west coast. United traditionally stage a pre-season friendly at Old Trafford and August 1 would seem a logical choice. United traditionally stage a pre-season friendly at Old Trafford and August 1 would seem a logical choice. They faced Valencia last year and Sevilla in 2013 although the Olympics prevented such a fixture taking place in 2012. Officials like a test run to ensure new equipment is working and to allow new staff to get used to a matchday operation at Old Trafford.
",,"Manchester United's new kit deal with adidas has been delayed due to logistical issues. As a result, the club will wear Nike kit during their US tour in July. Despite the £750million, 10-year agreement, adidas was unable to provide the team with new gear in time for the trip. Manager Louis van Gaal was reportedly disappointed but understanding of the situation. Fans will have to wait a bit longer to see the new kit in action.",1,1,0,1,1
5,"With just 26 days until the election, the Prime Minister is already showing the strain of a punishing campaign trail. At a visit to the Age UK in Plymouth yesterday, David Cameron appeared weary with bags under his eyes and disheveled hair. In one day this week the Tory leader travelled to all all four home nations in his bid to secure votes ahead of the May 7 election. Scroll down for video. Showing the strain: At a visit to the Age UK in Plymouth yesterday, David Cameron appeared weary with bags under his eyes and disheveled hair. He has also had to wade into a number of arguments, defending outspoken ministers, and even got into a muddle over cream teas. On Thursday Mr Cameron was been forced to defend Michael Fallon after the defence secretary claimed Ed Miliband would stab Britain’s national interest in the back in the same way he did his brother to gain the Labour leadership. The Prime Minister was also dealt a blow as Ed Miliband overtook him as the most popular political leader for the first time. In a shock result that sent shockwaves through Downing Street, the Labour leader jumped ahead of the Prime Minister in personal approval ratings. Not impressed: Six-year-old Lucy Howarth looked positively uninterested as the Prime Minister read a story at Sacred Heart Primary School near Bolton earlier this week. The Labour Party also took a commanding four point lead over the Tories, according to the pollsters Survation. On Wednesday, Mr Cameron failed to get the desired response from a six-year-old schoolgirl who looked positively uninterested as he read a story to her classmates at Sacred Heart Primary School near Bolton. Yesterday, another campaign gaffe saw Mr Cameron wade into the Cornwall Devon debate about how to eat a scone - getting the two counties contrasting traditions mixed up. The Tory leader has spent the day campaigning in Devon, where he must win several seats if he is to stand any chance of winning a majority. But his hopes of courting support in the county were given a knock with his food faux pas as he chatted with staff and customers of Tea by the Taw on The Strand in Barnstaple, the North Devon Gazette reported. David Cameron, on a visit to Devon this morning, made the blunder of confusing the two methods for eating a cream tea. All good politicians know how to make small talk with voters, but the jam and cream debate is no trifling matter. In an attempt to woo the locals, Mr Cameron ventured: 'When you are in Devon you do the jam and the cream in a different order to Cornwall, is that right?' Sensing a gaffe was imminent, he went on: 'I'm going to get this wrong, aren't I?' His prediction was correct, as he added: 'In Devon it's... jam first and cream on top?' His comments were greeted with silence and stony faces, as the staff realised someone was going to have to put the Prime Minister right.
","PM appeared weary with bags under eyes at event in Plymouth yesterday. In one day PM visited all four home nations in bid to secure votes. Turbulent week also saw Ed Miliband overtake him as most popular leader.
",,0,0,0,0,0
5,"With just 26 days until the election, the Prime Minister is already showing the strain of a punishing campaign trail. At a visit to the Age UK in Plymouth yesterday, David Cameron appeared weary with bags under his eyes and disheveled hair. In one day this week the Tory leader travelled to all all four home nations in his bid to secure votes ahead of the May 7 election. Scroll down for video. Showing the strain: At a visit to the Age UK in Plymouth yesterday, David Cameron appeared weary with bags under his eyes and disheveled hair. He has also had to wade into a number of arguments, defending outspoken ministers, and even got into a muddle over cream teas. On Thursday Mr Cameron was been forced to defend Michael Fallon after the defence secretary claimed Ed Miliband would stab Britain’s national interest in the back in the same way he did his brother to gain the Labour leadership. The Prime Minister was also dealt a blow as Ed Miliband overtook him as the most popular political leader for the first time. In a shock result that sent shockwaves through Downing Street, the Labour leader jumped ahead of the Prime Minister in personal approval ratings. Not impressed: Six-year-old Lucy Howarth looked positively uninterested as the Prime Minister read a story at Sacred Heart Primary School near Bolton earlier this week. The Labour Party also took a commanding four point lead over the Tories, according to the pollsters Survation. On Wednesday, Mr Cameron failed to get the desired response from a six-year-old schoolgirl who looked positively uninterested as he read a story to her classmates at Sacred Heart Primary School near Bolton. Yesterday, another campaign gaffe saw Mr Cameron wade into the Cornwall Devon debate about how to eat a scone - getting the two counties contrasting traditions mixed up. The Tory leader has spent the day campaigning in Devon, where he must win several seats if he is to stand any chance of winning a majority. But his hopes of courting support in the county were given a knock with his food faux pas as he chatted with staff and customers of Tea by the Taw on The Strand in Barnstaple, the North Devon Gazette reported. David Cameron, on a visit to Devon this morning, made the blunder of confusing the two methods for eating a cream tea. All good politicians know how to make small talk with voters, but the jam and cream debate is no trifling matter. In an attempt to woo the locals, Mr Cameron ventured: 'When you are in Devon you do the jam and the cream in a different order to Cornwall, is that right?' Sensing a gaffe was imminent, he went on: 'I'm going to get this wrong, aren't I?' His prediction was correct, as he added: 'In Devon it's... jam first and cream on top?' His comments were greeted with silence and stony faces, as the staff realised someone was going to have to put the Prime Minister right.
",,"David Cameron's bid for re-election takes a turn for the worse as he continues to struggle with basic knowledge of British customs, including the correct way to eat scones. The Prime Minister, who appeared disheveled and tired at an event in Plymouth, has been overtaken in popularity by his rival Ed Miliband. With just 26 days until the election, Cameron's campaign is showing significant signs of strain.",1,0,0,1,0
